is_member,score
1,0.593612
1,0.451443
1,0.563732
1,0.70693
1,0.477762
1,0.675551
1,0.572502
1,0.416306
1,0.50679
1,0.619231
1,0.340733
1,0.404773
1,0.783563
1,0.861975
1,0.266778
1,0.386907
1,0.454882
1,0.320681
1,0.638861
1,0.459706
1,0.554326
1,0.380692
1,0.200863
1,0.34323
1,0.455356
1,0.684941
1,0.468238
1,0.457918
1,0.589609
1,0.414499
1,0.176028
1,0.388017
1,0.333601
1,0.50641
1,0.559387
1,0.480571
1,0.306166
1,0.775377
1,0.592313
1,0.408352
1,0.614442
1,0.51321
1,0.230869
1,0.384156
1,0.82015
1,0.490268
1,0.377975
1,0.559302
1,0.176574
1,0.419397
1,0.374958
1,0.815502
1,0.705279
1,0.877101
1,0.66453
1,0.268054
1,0.178848
1,0.497728
1,0.467881
1,0.419825
1,0.766752
1,0.498069
1,0.431094
1,0.652155
1,0.695772
1,0.743956
1,0.076576
1,0.313421
1,0.182512
1,0.880549
1,0.465448
1,0.364468
1,0.616059
1,0.459798
1,0.374399
1,0.606351
1,0.3369
1,0.59188
1,0.265136
1,0.729424
1,0.276642
1,0.68963
1,0.25298
1,0.478947
1,0.065273
1,0.268594
1,0.259076
1,0.332486
1,0.353677
1,0.699166
1,0.249684
1,0.419403
1,0.708589
1,0.825698
1,0.244898
1,0.200006
1,0.669436
1,0.508475
1,0.488186
1,0.385518
1,0.511553
1,0.351985
1,0.578673
1,0.294408
1,0.549014
1,0.524951
1,0.349749
1,0.595668
1,0.373831
1,0.567458
1,0.64554
1,0.543654
1,0.466208
1,0.415415
1,0.24656
1,0.386524
1,0.534878
1,0.431692
1,0.80127
1,0.39906
1,0.353707
1,0.566364
1,0.324177
1,0.260718
1,0.596529
1,0.708542
1,0.700517
1,0.346408
1,0.453234
1,0.353002
1,0.381034
1,0.533549
1,0.715956
1,0.696132
1,0.28133
1,0.789185
1,0.796833
1,0.466575
1,0.433446
1,0.477577
1,0.606448
1,0.782682
1,0.609689
1,0.49483
1,0.723994
1,0.473931
1,0.58951
1,0.436095
1,0.535745
1,0.559327
1,0.55962
1,0.414395
1,0.682798
1,0.609973
1,0.460349
1,0.571941
1,0.692693
1,0.567908
1,0.581821
1,0.375944
1,0.239307
1,0.616932
1,0.358061
1,0.413316
1,0.780388
1,0.813356
1,0.564032
1,0.809286
1,0.328345
1,0.708282
1,0.514278
1,0.736072
1,0.299083
1,0.364966
1,0.417833
1,0.814488
1,0.404052
1,0.093747
1,0.49863
1,0.400092
1,0.614002
1,0.462633
1,0.331465
1,0.802499
1,0.257714
1,0.665067
1,0.577261
1,0.480222
1,0.385631
1,0.615153
1,0.500418
1,0.449679
1,0.419753
1,0.426902
1,0.662454
1,0.292299
1,0.415495
1,0.445504
1,0.624322
1,0.349549
1,0.584878
1,0.206752
1,0.660606
1,0.692937
1,0.282204
1,0.317276
1,0.514858
1,0.557088
1,0.662158
1,0.383183
1,0.737711
1,0.5506
1,0.31579
1,0.557675
1,0.371271
1,0.276874
1,0.536722
1,0.132834
1,0.435271
1,0.650333
1,0.444917
1,0.550317
1,0.648485
1,0.459802
1,0.473056
1,0.294661
1,0.57074
1,0.470113
1,0.317578
1,0.43473
1,0.394725
1,0.182765
1,0.666614
1,0.738714
1,0.603075
1,0.617712
1,0.578096
1,0.559902
1,0.59845
1,0.634807
1,0.421776
1,0.312271
1,0.216433
1,0.59575
1,0.737228
1,0.449159
1,0.387709
1,0.575532
1,0.45051
1,0.348178
1,0.370121
1,0.736639
1,0.554723
1,0.394129
1,0.322433
1,0.48457
1,0.198419
1,0.512459
1,0.457631
1,0.194671
1,0.683113
1,0.523056
1,0.212502
1,0.050508
1,0.501629
1,0.300104
1,0.448593
1,0.328057
1,0.692005
1,0.472267
1,0.777353
1,0.658148
1,0.453708
1,0.489896
1,0.338753
1,0.263865
1,0.808356
1,0.608567
1,0.742197
1,0.485267
1,0.571999
1,0.566038
1,0.640627
1,0.420026
1,0.753364
1,0.624189
1,0.546265
1,0.215004
1,0.522356
1,0.330391
1,0.472575
1,0.622742
1,0.452393
1,0.825947
1,0.312654
1,0.43303
1,0.783513
1,0.571018
1,0.507181
1,0.658566
1,0.688354
1,0.701076
1,0.626195
1,0.461735
1,0.423319
1,0.621324
1,0.398101
1,0.321535
1,0.41646
1,0.487854
1,0.428807
1,0.743064
1,0.366125
1,0.299931
1,0.328185
1,0.777336
1,0.379467
1,0.483075
1,0.535463
1,0.20992
1,0.152426
1,0.466178
1,0.537921
1,0.447427
1,0.278217
1,0.397659
1,0.305187
1,0.441475
1,0.778637
1,0.430096
1,0.542216
1,0.41795
1,0.493043
1,0.346261
1,0.334595
1,0.6544
1,0.552622
1,0.411178
1,0.636925
1,0.696256
1,0.711039
